feature,mean_abs_shap
ExtFP492,0.46732816
alogp,0.33674806
full_mwt,0.3107737
FP619,0.301703
psa,0.29099956
ExtFP257,0.25678787
FP14,0.24314617
hbd,0.2096457
GraphFP937,0.20634408
FP338,0.19717023
GraphFP517,0.19585572
FP1005,0.1881412
FP186,0.16891834
FP666,0.16157359
hba,0.15829799
ExtFP947,0.1559946
aromatic_rings,0.15452506
ExtFP953,0.15273501
ExtFP491,0.14688855
FP725,0.14551604
FP775,0.13130674
GraphFP552,0.12791856
GraphFP540,0.12715012
FP235,0.12348338
FP339,0.12120842
GraphFP348,0.118190564
GraphFP940,0.11433076
ExtFP807,0.113725126
FP526,0.10929532
PubchemFP590,0.10909991
ExtFP194,0.0998476
ExtFP424,0.09562438
rtb,0.095539615
GraphFP988,0.08421271
PubchemFP712,0.08231929
FP636,0.08037899
AD2D92,0.07981533
ExtFP743,0.06953531
ExtFP968,0.069268174
ExtFP824,0.06661177
ExtFP159,0.06581906
FP351,0.061159097
GraphFP140,0.05911268
FP895,0.058452528
GraphFP498,0.05619556
MACCSFP117,0.055115413
FP973,0.055050056
ExtFP243,0.05360687
GraphFP679,0.051517475
FP403,0.051081732
GraphFP154,0.05092838
GraphFP271,0.05051407
FP146,0.049595866
ExtFP829,0.04887028
GraphFP60,0.046128333
GraphFP904,0.045990583
FP271,0.04402137
PubchemFP431,0.042554
GraphFP489,0.040904943
ExtFP442,0.038431276
GraphFP641,0.036204085
GraphFP171,0.036130603
GraphFP1004,0.035439774
PubchemFP375,0.035198785
GraphFP741,0.03496414
FP837,0.02814814
GraphFP716,0.0280434
GraphFP891,0.027327495
ExtFP404,0.026341645
SubFP169,0.02528153
GraphFP397,0.025232265
ExtFP579,0.023839688
GraphFP277,0.023119988
GraphFP892,0.021292945
GraphFP698,0.020200217
GraphFP695,0.019537913
PubchemFP667,0.018104574
GraphFP196,0.018033838
GraphFP858,0.017418517
GraphFP983,0.017309554
EStateFP34,0.016079593
PubchemFP613,0.015907424
GraphFP553,0.015609419
ExtFP311,0.014271132
PubchemFP390,0.013711848
FP249,0.012468639
FP599,0.011421788
GraphFP73,0.010984155
GraphFP116,0.010974246
GraphFP302,0.010961707
PubchemFP644,0.01004499
AD2D91,0.009456814
GraphFP969,0.009201441
PubchemFP614,0.00877946
FP322,0.008538014
GraphFP285,0.006141286
MACCSFP77,0.005841397
PubchemFP467,0.0055863378
GraphFP783,0.004342311
PubchemFP406,0.004213337
PubchemFP346,0.0039525446
GraphFP786,0.0037151722
PubchemFP477,0.0035777886
PubchemFP617,0.0
GraphFP699,0.0
PubchemFP450,0.0
KRFP1148,0.0
